Lines of code metrics,Sat, 4 Dec 2021 09:02:07 SGT
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"org.argouml.cognitive.Designer.fixIt(ToDoItem,Object)",6,0,7,1,0.90%
"org.argouml.cognitive.Designer.getAgency()",4,5,8,3,1.02%
"org.argouml.cognitive.Designer.getAutoCritique()",10,11,14,3,1.79%
"org.argouml.cognitive.Designer.getChildGenerator()",2,3,6,3,0.77%
"org.argouml.cognitive.Designer.getClarifier()",5,0,8,3,1.02%
"org.argouml.cognitive.Designer.getCritiquingInterval()",4,5,8,3,1.02%
"org.argouml.cognitive.Designer.getCritiquingRoot()",2,3,8,5,1.02%
"org.argouml.cognitive.Designer.getDecisionModel()",2,3,6,3,0.77%
"org.argouml.cognitive.Designer.getDesignerName()",3,4,7,3,0.90%
"org.argouml.cognitive.Designer.getGoalList()",2,3,6,3,0.77%
"org.argouml.cognitive.Designer.getGoalModel()",2,3,6,3,0.77%
"org.argouml.cognitive.Designer.getPrefs()",5,6,9,3,1.15%
"org.argouml.cognitive.Designer.getSupportedDecisions()",3,0,6,3,0.77%
